# Number of data points
68
#Year M F
1938 22 12
1939 0 0
1940 0 0
1941 1 0
1945 1 1
1946 5 1
1947 11 5
1948 123 48
1949 449 387
1950 92 140
1951 161 287
1952 477 923
1953 418 624
1954 475 659
1955 620 1053
1956 451 659
1957 347 651
1958 442 1025
1959 455 421
1960 297 692
1961 349 818
1962 364 837
1963 517 836
1964 289 478
1965 112 137
1966 171 498
1967 59 59
1968 59 54
1969 177 289
1970 62 218
1971 182 299
1972 446 1013
1973 333 503
1974 290 634
1975 242 405
1976 351 839
1977 222 327
1978 251 574
1979 399 774
1980 317 550
1981 157 256
1982 132 310
1983 250 434
1984 38 68
1985 50 93
1986 14 6
1987 27 13
1992 0 0
1993 0 14
1994 9 7
1995 13 76
1996 22 102
1997 54 163
1998 37 177
1999 36 93
2000 24 43
2001 10 39
2002 22 102
2003 88 127
2004 22 99
2005 25 245
2006 0 12
2007 4 6
2008 0 0
2009 1 3
2010 6 12
2011 13 82
2012 4 2
